bird_name,scientific_name,count,date,time,latitude,longitude,location,county,state,observation_method
American Crow,Corvus brachyrhynchos,2,2025-03-01,06:21:00,33.1559565,-87.633699,"Lakefield Drive, Tuscaloosa",Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-05,06:27:00,33.1882745,-87.5396724,"23rd Street Area, Tuscaloosa",Tuscaloosa,Alabama,Stationary
American Crow,Corvus brachyrhynchos,3,2025-03-30,15:11:00,33.1335213,-87.6534175,River Bend Turf,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,2,2025-03-04,06:24:00,33.1882745,-87.5396724,"23rd Street Area, Tuscaloosa",Tuscaloosa,Alabama,Stationary
American Crow,Corvus brachyrhynchos,4,2025-03-29,10:14:00,33.4251511,-87.6054867,"17694 U.S. 43, Northport, Alabama, US (33.425, -87.605)",Tuscaloosa,Alabama,Stationary
American Crow,Corvus brachyrhynchos,4,2025-03-14,08:40:00,33.2760286,-87.4145222,Rocky Branch Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-28,09:52:00,33.1879866,-87.422758,2011 Corbell Drive,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,5,2025-03-31,18:25:00,33.0724477,-87.6296997,Cypress Pond,Tuscaloosa,Alabama,Incidental
American Crow,Corvus brachyrhynchos,1,2025-03-10,12:31:00,33.1897681,-87.3242283,I-20 Cottondale Rest Area,Tuscaloosa,Alabama,Incidental
American Crow,Corvus brachyrhynchos,2,2025-03-12,16:12:00,33.194812,-87.480894,Arboretum/Prickett Running Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,3,2025-03-28,07:10:00,33.2510342,-87.0666504,Tannehill Ironworks Historical Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-26,10:53:00,33.1879866,-87.422758,2011 Corbell Drive,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,2,2025-03-07,09:44:00,33.2221657,-87.5991654,Van De Graaff Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,2,2025-03-08,07:28:00,33.090208,-87.395741,"13550 Hidden Valley Rd, Cottondale US-AL (33.0902,-87.3957)",Tuscaloosa,Alabama,Stationary
American Crow,Corvus brachyrhynchos,1,2025-03-10,17:00:00,33.214843,-87.567602,JMF,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,5,2025-03-21,16:33:00,33.2221657,-87.5991654,Van De Graaff Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,3,2025-03-23,16:34:00,33.221523,-87.565854,Robert Platt Memorial Levee Trail,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,3,2025-03-14,06:50:00,33.2760286,-87.4145222,Rocky Branch Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,2,2025-03-16,10:41:00,33.2133736,-87.6421747,"Commerce Rd., Tuscaloosa",Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,4,2025-03-16,07:30:00,33.1559565,-87.633699,"Lakefield Drive, Tuscaloosa",Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,6,2025-03-02,08:10:00,33.1559565,-87.633699,"Lakefield Drive, Tuscaloosa",Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,2,2025-03-30,09:20:00,33.4251511,-87.6054867,"17694 U.S. 43, Northport, Alabama, US (33.425, -87.605)",Tuscaloosa,Alabama,Stationary
American Crow,Corvus brachyrhynchos,1,2025-03-16,16:19:00,33.211343,-87.576771,Western Riverwalk,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,5,2025-03-29,06:46:00,33.1945625,-87.4808264,University of Alabama Arboretum,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-25,10:47:00,33.2074623,-87.5532958,Tuscaloosa (town),Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,5,2025-03-29,07:04:00,33.2256396,-87.5266425,Randall Family Park and Trailhead,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-17,15:38:00,33.222526,-87.526059,Riverview Landing,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,3,2025-03-29,09:15:00,33.2652452,-87.5350821,Munny Sokol Park,Tuscaloosa,Alabama,Traveling
American Crow,Corvus brachyrhynchos,1,2025-03-25,10:47:00,33.2074623,-87.5532958,Tuscaloosa (town),Tuscaloosa,Alabama,Traveling
